STT,MNV
1,VT-000003
2,VT-000004
3,VT-000006
4,VT-000008
5,VT-000015
6,VT-000017
7,VT-000027
8,VT-000029
9,VT-000046
10,VT-000052
11,VT-000053
12,VT-000057
13,VT-000079
14,VT-000084
15,VT-000085
16,VT-000086
17,VT-000089
18,VT-000091
19,VT-000092
20,VT-000095
21,VT-000098
22,VT-000104
23,VT-000112
24,VT-000115
25,VT-000122
26,VT-000124
27,VT-000129
28,VT-000131
29,VT-000133
30,VT-000140
31,VT-000144
32,VT-000150
33,VT-000152
34,VT-000154
35,VT-000176
36,VT-000183
37,VT-000184
38,VT-000204
39,VT-000205
40,VT-000206
41,VT-000220
42,VT-000233
43,VT-000237
44,VT-000275
45,VT-000283
46,VT-000291
47,VT-000305
48,VT-000318
49,VT-000327
50,VT-000359
51,VT-000494
52,VT-000521
53,VT-000543
54,VT-000764
55,VT-000901
56,VT-000956
57,VT-001063
58,VT-001148
59,VT-001151
60,VT-001156
61,VT-001178
62,VT-001183
63,VT-001204
64,VT-001210
65,VT-001222
66,VT-001223
67,VT-001224
68,VT-001230
69,VT-001235
70,VT-001237
71,VT-001242
72,VT-001243
73,VT-001245
74,VT-001246
75,VT-001260
76,VT-001264
77,VT-001270
78,VT-001275
79,VT-001276
80,VT-001281
81,VT-001319
82,VT-001330
83,VT-001333
84,VT-001345
85,VT-001370
86,VT-001519
87,VT-001520
88,VT-001614
89,VT-001893
90,VT-001929
91,VT-002102
92,VT-002152
93,VT-002243
94,VT-002403
95,VT-002443
96,VT-002665
97,VT-002729
98,VT-002747
99,VT-002827
100,VT-002892
101,VT-002903
102,VT-002953
103,VT-002971
104,VT-003042
105,VT-003097
106,VT-003112
107,VT-003154
108,VT-003252
109,VT-003315
110,VT-003323
111,VT-003340
112,VT-003411
113,VT-003418
114,VT-003424
115,VT-003439
116,VT-003745
117,VT-003862
118,VT-003885
119,VT-003899
120,VT-003900
121,VT-003911
122,VT-004034
123,VT-004037
124,VT-004130
125,VT-004335
126,VT-004510
127,VT-004570
128,VT-004647
129,VT-004741
130,VT-004781
131,VT-004967
132,VT-005017
133,VT-005164
134,VT-005204
135,VT-005214
136,VT-005302
137,VT-005422
138,VT-005546
139,VT-005601
140,VT-005604
141,VT-005646
142,VT-005675
143,VT-005737
144,VT-005820
145,VT-005851
146,VT-005855
147,VT-005992
148,VT-006011
149,VT-006013
150,VT-006014
151,VT-006035
152,VT-006071
153,VT-006126
154,VT-006253
155,VT-006292
156,VT-006419
157,VT-006430
158,VT-006453
159,VT-006529
160,VT-006538
161,VT-006568
162,VT-006664
163,VT-006682
164,VT-006720
165,VT-006721
166,VT-006725
167,VT-006752
168,VT-006818
169,VT-006896
170,VT-006900
171,VT-006925
172,VT-006955
173,VT-007008
174,VT-007026
175,VT-007071
176,VT-007073
177,VT-007123
178,VT-007126
179,VT-007163
180,VT-007200
181,VT-007267
182,VT-007338
183,VT-007381
184,VT-007384
185,VT-007434
186,VT-007447
187,VT-007455
188,VT-007456
189,VT-007457
190,VT-007486
191,VT-007655
192,VT-007677
193,VT-007736
194,VT-007819
195,VT-007829
196,VT-007843
197,VT-007852
198,VT-007853
199,VT-007867
200,VT-007872
201,VT-007896
202,VT-007940
203,VT-007985
204,VT-008015
205,VT-008139
206,VT-008222
207,VT-008225
208,VT-008249
209,VT-008288
210,VT-008386
211,VT-008389
212,VT-008615
213,VT-008627
214,VT-008642
215,VT-008809
216,VT-008884
217,VT-009023
218,VT-009038
219,VT-009133
220,VT-009134
221,VT-009249
222,VT-009297
223,VT-009379
224,VT-009434
225,VT-009439
226,VT-009470
227,VT-009480
228,VT-009501
229,VT-009538
230,VT-009551
231,VT-009555
232,VT-009582
233,VT-009625
234,VT-009634
235,VT-009690
236,VT-009708
237,VT-009716
238,VT-009720
239,VT-009770
240,VT-009775
241,VT-009833
242,VT-009864
243,VT-009867
244,VT-009931
245,VT-009991
246,VT-009998
247,VT-010013
248,VT-010187
249,VT-010220
250,VT-010280
251,VT-010314
252,VT-010315
253,VT-010346
254,VT-010380
255,VT-010381
256,VT-010420
257,VT-010446
258,VT-010449
259,VT-010460
260,VT-010472
261,VT-010482
262,VT-010499
263,VT-010579
264,VT-010612
265,VT-010643
266,VT-010674
267,VT-010695
268,VT-010716
269,VT-010717
270,VT-010722
271,VT-010723
272,VT-010735
273,VT-010739
274,VT-010746
275,VT-010753
276,VT-010789
277,VT-010802
278,VT-010840
279,VT-010918
280,VT-010926
281,VT-010985
282,VT-011007
283,VT-011018
284,VT-011118
285,VT-011133
286,VT-011147
287,VT-011153
288,VT-011156
289,VT-011181
290,VT-011295
291,VT-011311
292,VT-011321
293,VT-011349
294,VT-011374
295,VT-011401
296,VT-011405
297,VT-011420
298,VT-011425
299,VT-011426
300,VT-011428
301,VT-011434
302,VT-011465
303,VT-011490
304,VT-011497
305,VT-011498
306,VT-011518
307,VT-011525
308,VT-011536
309,VT-011544
310,VT-011549
311,VT-011559
312,VT-011582
313,VT-011691
314,VT-011698
315,VT-011720
316,VT-011725
317,VT-011729
318,VT-011743
319,VT-011771
320,VT-011781
321,VT-011809
322,VT-011827
323,VT-011834
324,VT-011851
325,VT-011874
326,VT-011898
327,VT-011906
328,VT-011931
329,VT-011941
330,VT-011952
331,VT-011972
332,VT-011976
333,VT-011987
334,VT-011990
335,VT-011998
336,VT-011999
337,VT-012059
338,VT-012063
339,VT-012064
340,VT-012072
341,VT-012087
342,VT-012093
343,VT-012097
344,VT-012102
345,VT-012112
346,VT-012129
347,VT-012131
348,VT-012133
349,VT-012146
350,VT-012164
351,VT-012186
352,VT-012196
353,VT-012197
354,VT-012198
355,VT-012208
356,VT-012209
357,VT-012214
358,VT-012243
359,VT-012252
360,VT-012262
361,VT-012291
362,VT-012310
363,VT-012312
364,VT-012314
365,VT-012317
366,VT-012319
367,VT-012325
368,VT-012329
369,VT-012334
370,VT-012338
371,VT-012346
372,VT-012355
373,VT-012357
374,VT-012367
375,VT-012370
376,VT-012373
377,VT-012374
378,VT-012380
379,VT-012382
380,VT-012386
381,VT-012387
382,VT-012388
383,VT-012412
384,VT-012413
385,VT-012421
386,VT-012440
387,VT-012445
388,VT-012454
389,VT-012476
390,VT-012484
391,VT-012486
392,VT-012487
393,VT-012489
394,VT-012492
395,VT-012495
396,VT-012496
397,VT-012512
398,VT-012516
399,VT-012544
400,VT-012574
401,VT-012580
402,VT-012590
403,VT-012591
404,VT-012593
405,VT-012599
406,VT-012601
407,VT-012609
408,VT-012613
409,VT-012631
410,VT-012635
411,VT-012637
412,VT-012643
413,VT-012646
414,VT-012647
415,VT-012651
416,VT-012652
417,VT-012653
418,VT-012654
419,VT-012655
420,VT-012660
421,VT-012666
422,VT-012677
423,VT-012682
424,VT-012683
425,VT-012688
426,VT-012691
427,VT-012692
428,VT-012693
429,VT-012695
430,VT-012696
431,VT-012699
432,VT-012700
433,VT-012701
434,VT-012702
435,VT-012703
436,VT-012704
437,VT-012708
438,VT-012709
439,VT-012711
440,VT-012712
441,VT-012713
442,VT-012715
443,VT-012716
444,VT-012719
445,VT-012725
446,VT-012730
447,VT-012731
448,VT-012736
449,VT-012737
450,VT-012743
451,VT-012746
452,VT-012747
453,VT-012748
454,VT-012749
455,VT-012750
456,VT-012751
457,VT-012758
458,VT-012767
459,VT-012769
460,VT-012771
461,VT-012775
462,VT-012776
463,VT-012778
464,VT-012779
465,VT-012780
466,VT-012782
467,VT-012783
468,VT-012785
469,VT-012786
470,VT-012796
471,VT-012797
472,VT-012798
473,VT-012799
474,VT-012800
475,VT-012801
476,VT-012804
477,VT-012806
478,VT-012807
479,VT-012808
480,VT-012809
481,VT-012812
